poem_name, poem_content ,poet_name ,category
Beauty&MdashBe Not Caused&MdashIt Is ,516|Beauty—be not caused—It Is—|Chase it| and it ceases—|Chase it not| and it abides—|Overtake the Creases|In the Meadow—when the Wind|Runs his fingers thro' it—|Deity will see to it|That You never do it—,Dickinson Emily,beauty
Soul's Beauty ,Under the arch of Life| where love and death||Terror and mystery| guard her shrine| I saw|Beauty enthroned; and though her gaze struck awe||I drew it in as simply as my breath.|Hers are the eyes which| over and beneath||The sky and sea bend on thee|—which can draw||By sea or sky or woman| to one law||The allotted bondman of her palm and wreath.|This is that Lady Beauty| in whose praise|Thy voice and hand shake still|—long known to thee|By flying hair and fluttering hem|—the beat|Following her daily of thy heart and feet||How passionately and irretrievably||In what fond flight| how many ways and days!,Rossetti Gabriel,beauty
Ode To Beauty ,Who gave thee| O Beauty!|The keys of this breast||Too credulous lover|Of blest and unblest?|Say when in lapsed ages|Thee knew I of old;|Or what was the service|For which I was sold?|When first my eyes saw thee||I found me thy thrall||By magical drawings||Sweet tyrant of all!|I drank at thy fountain|False waters of thirst;|Thou intimate stranger||Thou latest and first!|Thy dangerous glances|Make women of men;|New-born we are melting|Into nature again.|Lavish| lavish promiser||Nigh persuading gods to err||Guest of million painted forms|Which in turn thy glory warms||The frailest leaf| the mossy bark||The acorn's cup| the raindrop's arc||The swinging spider's silver line||The ruby of the drop of wine||The shining pebble of the pond||Thou inscribest with a bond|In thy momentary play|Would bankrupt Nature to repay.|Ah! what avails it|To hide or to shun|Whom the Infinite One|Hath granted his throne?|The heaven high over|Is the deep's lover||The sun and sea|Informed by thee||Before me run||And draw me on||Yet fly me still||As Fate refuses|To me the heart Fate for me chooses||Is it that my opulent soul|Was mingled from the generous whole||Sea valleys and the deep of skies|Furnished several supplies||And the sands whereof I'm made|Draw me to them self-betrayed?|I turn the proud portfolios|Which hold the grand designs|Of Salvator| of Guercino||And Piranesi's lines.|I hear the lofty Pæans|Of the masters of the shell||Who heard the starry music||And recount the numbers well:|Olympian bards who sung|Divine Ideas below||Which always find us young||And always keep us so.|Oft in streets or humblest places|I detect far wandered graces||Which from Eden wide astray|In lowly homes have lost their way.|Thee gliding through the sea of form||Like the lightning through the storm||Somewhat not to be possessed||Somewhat not to be caressed||No feet so fleet could ever find||No perfect form could ever bind.|Thou eternal fugitive|Hovering over all that live||Quick and skilful to inspire|Sweet extravagant desire||Starry space and lily bell|Filling with thy roseate smell||Wilt not give the lips to taste|Of the nectar which thou hast.|All that's good and great with thee|Stands in deep conspiracy.|Thou hast bribed the dark and lonely|To report thy features only||And the cold and purple morning|Itself with thoughts of thee adorning||The leafy dell| the city mart||Equal trophies of thine art||E'en the flowing azure air|Thou hast touched for my despair||And if I languish into dreams||Again I meet the ardent beams.|Queen of things! I dare not die|In Being's deeps past ear and eye||Lest there I find the same deceiver||And be the sport of Fate forever.|Dread power| but dear! if God thou be||Unmake me quite| or give thyself to me.,Emerson Waldo,beauty
He Remembers Forgotten Beauty ,When my arms wrap you round I press|My heart upon the loveliness|That has long faded from the world;|The jewelled crowns that kings have hurled|In shadowy pools| when armies fled;|The love-tales wrought with silken thread|By dreaming ladies upon cloth|That has made fat the murderous moth;|The roses that of old time were|Woven by ladies in their hair||The dew-cold lilies ladies bore|Through many a sacred corridor|Where such grey clouds of incense rose|That only God's eyes did not close:|For that pale breast and lingering hand|Come from a more dream-heavy land||A more dream-heavy hour than this;|And when you sigh from kiss to kiss|I hear white Beauty sighing| too||For hours when all must fade like dew.|But flame on flame| and deep on deep||Throne over throne where in half sleep||Their swords upon their iron knees||Brood her high lonely mysteries.,Yeats Butler,beauty
Genius In Beauty ,Beauty like hers is genius. Not the call|Of Homer's or of Dante's heart sublime| --|Not Michael's hand furrowing the zones of time| --|Is more with compassed mysteries musical;|Nay| not in Spring's Summer's sweet footfall|More gathered gifts exuberant Life bequeaths|Than doth this sovereign face| whose love-spell breathes|Even from its shadowed contour on the wall.|As many men are poets in their youth||But for one sweet-strung soul the wires prolong|Even through all change the indomitable song;|So in likewise the envenomed years| whose tooth|Rends shallower grace with ruin void of truth||Upon this beauty's power shall wreak no wrong.,Rossetti Gabriel,beauty
I Died For Beauty But Was Scarce ,I died for beauty but was scarce|Adjusted in the tomb||When one who died for truth was lain|In an adjoining room.|He questioned softly why I failed?|'For beauty|' I replied.|'And I for truth|--the two are one;|We brethren are|' he said.|And so| as kinsmen met a night||We talked between the rooms||Until the moss had reached our lips||And covered up our names.,Dickinson Emily,beauty
Beauty| Inside And Out ,I am black|I am beautiful|inside and out|I am black|I am beautiful|my voice is medium toned| I try not to shout|I am black|I am beautiful|I don't let anyone put me down|I am black|I am beautiful|Though sometimes I may act as a clown|I am black|I am beautiful|I'm filled with such pride|I am black|I am beautiful|I'll make such a wonderful bride|Black and Beauty|that describes the outside of me|Nice or mean| you have to decide|To me and most people I am nice inside|I am beautiful| I am black|I am black| I am beautiful,Melville Camacy,beauty
Amoretti Iii: The Sovereign Beauty ,The sovereign beauty which I do admire||Witness the world how worthy to be praised:|The light whereof hath kindled heavenly fire|In my frail spirit| by her from baseness raised;|That being now with her huge brightness dazed||Base thing I can no more endure to view;|But looking still on her| I stand amazed|At wondrous sight of so celestial hue.|So when my tongue would speak her praises due||It stopped is with thought's astonishment:|And when my pen would write her titles true||It ravish'd is with fancy's wonderment:|Yet in my heart I then both speak and write|The wonder that my wit cannot endite.,Spenser Edmund,beauty
Beauty: [notes For An Unfinished Poem] ,The beautiful| the fair| the elegant||Is that which pleases us| says Kant||Without a thought of interest or advantage.|I used to watch men when they spoke of beauty|And measure their enthusiasm. One|An old man| seeing a ( ) setting sun||Praised it ( ) a certain sense of duty|To the calm evening and his time of life.|I know another man that never says a Beauty|But of a horse; ( )|Men seldom speak of beauty| beauty as such||Not even lovers think about it much.|Women of course consider it for hours|In mirrors; ( )|A shrapnel ball -|Just where the wet skin glistened when he swam -|Like a fully-opened sea-anemone.|We both said 'What a beauty! What a beauty| lad'|I knew that in that flower he saw a hope|Of living on| and seeing again the roses of his home.|Beauty is that which pleases and delights||Not bringing personal advantage - Kant.|But later on I heard|A canker worked into that crimson flower|And that he sank with it|And laid it with the anemones off Dover.,Owen Wilfred,beauty
Beauty ,Say not of beauty she is good||Or aught but beautiful||Or sleek to doves' wings of the wood|Her wild wings of a gull.|Call her not wicked; that word's touch|Consumes her like a curse;|But love her not too much| too much||For that is even worse.|O| she is neither good nor bad||But innocent and wild!|Enshrine her and she dies| who had|The hard heart of a child.,Wylie Morton,beauty
A Hymn In Honour Of Beauty ,Ah whither| Love| wilt thou now carry me?|What wontless fury dost thou now inspire|Into my feeble breast| too full of thee?|Whilst seeking to aslake thy raging fire||Thou in me kindlest much more great desire||And up aloft above my strength dost raise|The wondrous matter of my fire to praise.|That as I erst in praise of thine own name||So now in honour of thy mother dear||An honourable hymn I eke should frame||And with the brightness of her beauty clear||The ravish'd hearts of gazeful men might rear|To admiration of that heavenly light||From whence proceeds such soul-enchanting might.|Thereto do thou| great goddess| queen of beauty||Mother of love| and of all world's delight||Without whose sovereign grace and kindly duty|Nothing on earth seems fair to fleshly sight||Do thou vouchsafe with thy love-kindling light|T' illuminate my dim and dulled eyne||And beautify this sacred hymn of thine:|That both to thee| to whom I mean it most||And eke to her| whose fair immortal beam|Hath darted fire into my feeble ghost||That now it wasted is with woes extreme||It may so please| that she at length will stream|Some dew of grace into my withered heart||After long sorrow and consuming smart.|WHAT time this world's great Workmaster did cast|To make all things such as we now behold||It seems that he before his eyes had plac'd|A goodly pattern| to whose perfect mould|He fashion'd them as comely as he could;|That now so fair and seemly they appear||As nought may be amended anywhere.|That wondrous pattern| wheresoe'er it be||Whether in earth laid up in secret store||Or else in heaven| that no man may it see|With sinful eyes| for fear it to deflore||Is perfect Beauty| which all men adore;|Whose face and feature doth so much excel|All mortal sense| that none the same may tell.|Thereof as every earthly thing partakes|Or more or less| by influence divine||So it more fair accordingly it makes||And the gross matter of this earthly mine||Which clotheth it| thereafter doth refine||Doing away the dross which dims the light|Of that fair beam which therein is empight.|For| through infusion of celestial power||The duller earth it quick'neth with delight||And lifeful spirits privily doth pour|Through all the parts| that to the looker's sight|They seem to please. That is thy sovereign might||O Cyprian queen| which flowing from the beam|Of thy bright star| thou into them dost stream.|That is the thing which giveth pleasant grace|To all things fair| that kindleth lively fire||Light of thy lamp| which| shining in the face||Thence to the soul darts amorous desire||And robs the hearts of those which it admire;|Therewith thou pointest thy son's poison'd arrow||That wounds the life| and wastes the inmost marrow.|How vainly then do idle wits invent||That beauty is nought else but mixture made|Of colours fair| and goodly temp'rament|Of pure complexions| that shall quickly fade|And pass away| like to a summer's shade;|Or that it is but comely composition|Of parts well measur'd| with meet disposition.|Hath white and red in it such wondrous power||That it can pierce through th' eyes unto the heart||And therein stir such rage and restless stour||As nought but death can stint his dolour's smart?|Or can proportion of the outward part|Move such affection in the inward mind||That it can rob both sense and reason blind?|Why do not then the blossoms of the field||Which are array'd with much more orient hue||And to the sense most dainty odours yield||Work like impression in the looker's view?|Or why do not fair pictures like power shew||In which oft-times we nature see of art|Excell'd| in perfect limning every part?|But ah| believe me| there is more than so||That works such wonders in the minds of men;|I| that have often prov'd| too well it know||And whoso list the like assays to ken||Shall find by trial| and confess it then||That beauty is not| as fond men misdeem||An outward shew of things| that only seem.|For that same goodly hue of white and red||With which the cheeks are sprinkled| shall decay||And those sweet rosy leaves| so fairly spread|Upon the lips| shall fade and fall away|To that they were| even to corrupted clay;|That golden wire| those sparkling stars so bright||Shall turn to dust; and lose their goodly light.|But that fair lamp| from whose celestial ray|That light proceeds| which kindleth lovers' fire||Shall never be extinguish'd nor decay;|But when the vital spirits do expire||Unto her native planet shall retire;|For it is heavenly born and cannot die||Being a parcel of the purest sky.|For when the soul| the which derived was||At first| out of that great immortal Spright||By whom all live to love| whilom did pass|Down from the top of purest heaven's height|To be embodied here| it then took light|And lively spirits from that fairest star||Which lights the world forth from his fiery car.|Which power retaining still or more or less||When she in fleshly seed is eft enraced||Through every part she doth the same impress||According as the heavens have her graced||And frames her house| in which she will be placed||Fit for herself| adorning it with spoil|Of th' heavenly riches which she robb'd erewhile.|Thereof it comes that these fair souls| which have|The most resemblance of that heavenly light||Frame to themselves most beautiful and brave|Their fleshly bower| most fit for their delight||And the gross matter by a sovereign might|Tempers so trim| that it may well be seen|A palace fit for such a virgin queen.|So every spirit| as it is most pure||And hath in it the more of heavenly light||So it the fairer body doth procure|To habit in| and it more fairly dight|With cheerful grace and amiable sight.|For of the soul the body form doth take:|For soul is form| and doth the body make.|Therefore wherever that thou dost behold|A comely corpse| with beauty fair endued||Know this for certain| that the same doth hold|A beauteous soul| with fair conditions thewed||Fit to receive the seed of virtue strewed.|For all that fair is| is by nature good;|That is a sign to know the gentle blood.|Yet oft it falls that many a gentle mind|Dwells in deformed tabernacle drown'd||Either by chance| against the course of kind||Or through unaptness in the substance found||Which it assumed of some stubborn ground||That will not yield unto her form's direction||But is deform'd with some foul imperfection.|And oft it falls| (ay me| the more to rue)|That goodly beauty| albe heavenly born||Is foul abus'd| and that celestial hue||Which doth the world with her delight adorn||Made but the bait of sin| and sinners' scorn||Whilst every one doth seek and sue to have it||But every one doth seek but to deprave it.|Yet nathëmore is that fair beauty's blame||But theirs that do abuse it unto ill:|Nothing so good| but that through guilty shame|May be corrupt| and wrested unto will:|Natheless the soul is fair and beauteous still||However flesh{"e}s fault it filthy make;|For things immortal no corruption take.|But ye fair dames| the world's dear ornaments|And lively images of heaven's light||Let not your beams with such disparagements|Be dimm'd| and your bright glory dark'ned quite;|But mindful still of your first country's sight||Do still preserve your first informed grace||Whose shadow yet shines in your beauteous face.|Loathe that foul blot| that hellish firebrand||Disloyal lust| fair beauty's foulest blame||That base affections| which your ears would bland||Commend to you by love's abused name||But is indeed the bondslave of defame;|Which will the garland of your glory mar||And quench the light of your bright shining star.|But gentle Love| that loyal is and true||Will more illumine your resplendent ray||And add more brightness to your goodly hue||From light of his pure fire; which| by like way|Kindled of yours| your likeness doth display;|Like as two mirrors| by oppos'd reflection||Do both express the face's first impression.|Therefore| to make your beauty more appear||It you behoves to love| and forth to lay|That heavenly riches which in you ye bear||That men the more admire their fountain may;|For else what booteth that celestial ray||If it in darkness be enshrined ever||That it of loving eyes be viewed never?|But| in your choice of loves| this well advise||That likest to yourselves ye them select||The which your forms' first source may sympathize||And with like beauty's parts be inly deckt;|For| if you loosely love without respect||It is no love| but a discordant war||Whose unlike parts amongst themselves do jar.|For love is a celestial harmony|Of likely hearts compos'd of stars' concent||Which join together in sweet sympathy||To work each other's joy and true content||Which they have harbour'd since their first descent|Out of their heavenly bowers| where they did see|And know each other here belov'd to be.|Then wrong it were that any other twain|Should in love's gentle band combined be|But those whom Heaven did at first ordain||And made out of one mould the more t' agree;|For all that like the beauty which they see||Straight do not love; for love is not so light|As straight to burn at first beholder's sight.|But they| which love indeed| look otherwise||With pure regard and spotless true intent||Drawing out of the object of their eyes|A more refined form| which they present|Unto their mind| void of all blemishment;|Which it reducing to her first perfection||Beholdeth free from flesh's frail infection.|And then conforming it unto the light||Which in itself it hath remaining still||Of that first Sun| yet sparkling in his sight||Thereof he fashions in his higher skill|An heavenly beauty to his fancy's will;|And it embracing in his mind entire||The mirror of his own thought doth admire.|Which seeing now so inly fair to be||As outward it appeareth to the eye||And with his spirit's proportion to agree||He thereon fixeth all his fantasy||And fully setteth his felicity;|Counting it fairer than it is indeed||And yet indeed her fairness doth exceed.|For lovers' eyes more sharply sighted be|Than other men's| and in dear love's delight|See more than any other eyes can see||Through mutual receipt of beam{"e}s bright||Which carry privy message to the spright||And to their eyes that inmost fair display||As plain as light discovers dawning day.|Therein they see| through amorous eye-glances||Armies of loves still flying to and fro||Which dart at them their little fiery lances;|Whom having wounded| back again they go||Carrying compassion to their lovely foe;|Who| seeing her fair eyes' so sharp effect||Cures all their sorrows with one sweet aspect.|In which how many wonders do they rede|To their conceit| that others never see||Now of her smiles| with which their souls they feed||Like gods with nectar in their banquets free;|Now of her looks| which like to cordials be;|But when her words' embássade forth she sends||Lord| how sweet music that unto them lends.|Sometimes upon her forehead they behold|A thousand graces masking in delight;|Sometimes within her eyelids they unfold|Ten thousand sweet belgards| which to their sight|Do seem like twinkling stars in frosty night;|But on her lips| like rosy buds in May||So many millions of chaste pleasures play.|All those| O Cytherea| and thousands more|Thy handmaids be| which do on thee attend||To deck thy beauty with their dainties' store||That may it more to mortal eyes commend||And make it more admir'd of foe and friend:|That in men's hearts thou may'st thy throne install||And spread thy lovely kingdom over all.|Then Iö| triumph! O great Beauty's Queen||Advance the banner of thy conquest high||That all this world| the which thy vassals bene||May draw to thee| and with due fealty|Adore the power of thy great majesty||Singing this hymn in honour of thy name||Compil'd by me| which thy poor liegeman am.|In lieu whereof grant| O great sovereign||That she whose conquering beauty doth captive|My trembling heart in her eternal chain||One drop of grace at length will to me give||That I her bounden thrall by her may live||And this same life| which first fro me she reaved||May owe to her| of whom I it received.|And you| fair Venus' darling| my dear dread||Fresh flower of grace| great goddess of my life||When your fair eyes these fearful lines shall read||Deign to let fall one drop of due relief||That may recure my heart's long pining grief||And shew what wondrous power your beauty hath||That can restore a damned wight from death.,Spenser Edmund,beauty
To What Serves Mortal Beauty? ,To what serves mortal beauty ' —dangerous; does set danc-|ing blood—the O-seal-that-so ' feature| flung prouder form|Than Purcell tune lets tread to? ' See: it does this: keeps warm|Men’s wits to the things that are; ' what good means—where a glance|Master more may than gaze| ' gaze out of countenance.|Those lovely lads once| wet-fresh ' windfalls of war’s storm||How then should Gregory| a father| ' have gleanèd else from swarm-|ed Rome? But God to a nation ' dealt that day’s dear chance.|To man| that needs would worship ' block or barren stone||Our law says: Love what are ' love’s worthiest| were all known;|World’s loveliest—men’s selves. Self ' flashes off frame and face.|What do then? how meet beauty? ' Merely meet it; own||Home at heart| heaven’s sweet gift; ' then leave| let that alone.|Yea| wish that though| wish all| ' God’s better beauty| grace.,Hopkins Manley,beauty
Clothed In Beauty ,As if chiseled| a fruit-laden branch|Hangs in my garden| asleep - so low...|The trees sleep - and dream? - in moonlight;|And the mystery of their life is near| near...|Even if we cannot grasp it||The mute language is still intelligible:|They use our beauty to express|How we are one amidst rays and spots of light.|And the tremor of any life's creation|Reveals itself in a lovely form;|And the variance of different things is sweetened|By shared beauty. Multiply it!|And the world will be like this unstirring garden||Where everything heeds a harmonious silence:|Both stem and flower yield to the dear Earth;|Both flower and stem listen to the Moon.,Ivanov Ivanovich,beauty
Seeking Beauty ,Cold winds can never freeze| nor thunder sour|The cup of cheer that Beauty draws for me|Out of those Azure heavens and this green earth --|I drink and drink| and thirst the more I see.|To see the dewdrops thrill the blades of grass||Makes my whole body shake; for here's my choice|Of either sun or shade| and both are green --|A Chaffinch laughs in his melodious voice.|The banks are stormed by Speedwell| that blue flower|So like a little heaven with one star out;|I see an amber lake of buttercups||And Hawthorn foams the hedges round about.|The old Oak tree looks now so green and young||That even swallows perch awhile and sing:|This is that time of year| so sweet and warm||When bats wait not for stars ere they take wing.|As long as I love Beauty I am young||Am young or old as I love more or less;|When Beauty is not heeded or seems stale||My life's a cheat| let Death end my distress.,Davies Henry,beauty
A Hymn Of Heavenly Beauty ,Rapt with the rage of mine own ravish'd thought||Through contemplation of those goodly sights||And glorious images in heaven wrought||Whose wondrous beauty| breathing sweet delights|Do kindle love in high-conceited sprights;|I fain to tell the things that I behold||But feel my wits to fail| and tongue to fold.|Vouchsafe then| O thou most Almighty Spright||From whom all gifts of wit and knowledge flow||To shed into my breast some sparkling light|Of thine eternal truth| that I may show|Some little beams to mortal eyes below|Of that immortal beauty| there with thee||Which in my weak distraughted mind I see;|That with the glory of so goodly sight|The hearts of men| which fondly here admire|Fair seeming shews| and feed on vain delight||Transported with celestial desire|Of those fair forms| may lift themselves up higher||And learn to love| with zealous humble duty||Th' eternal fountain of that heavenly beauty.|Beginning then below| with th' easy view|Of this base world| subject to fleshly eye||From thence to mount aloft| by order due||To contemplation of th' immortal sky;|Of the soare falcon so I learn to fly||That flags awhile her fluttering wings beneath||Till she herself for stronger flight can breathe.|Then look| who list thy gazeful eyes to feed|With sight of that is fair| look on the frame|Of this wide universe| and therein reed|The endless kinds of creatures which by name|Thou canst not count| much less their natures aim;|All which are made with wondrous wise respect||And all with admirable beauty deckt.|First th' earth| on adamantine pillars founded||Amid the sea engirt with brazen bands;|Then th' air still flitting| but yet firmly bounded|On every side| with piles of flaming brands||Never consum'd| nor quench'd with mortal hands;|And last| that mighty shining crystal wall||Wherewith he hath encompassed this All.|By view whereof it plainly may appear||That still as every thing doth upward tend||And further is from earth| so still more clear|And fair it grows| till to his perfect end|Of purest beauty it at last ascend;|Air more than water| fire much more than air||And heaven than fire| appears more pure and fair.|Look thou no further| but affix thine eye|On that bright| shiny| round| still moving mass||The house of blessed gods| which men call sky||All sow'd with glist'ring stars more thick than grass||Whereof each other doth in brightness pass||But those two most| which ruling night and day||As king and queen| the heavens' empire sway;|And tell me then| what hast thou ever seen|That to their beauty may compared be||Or can the sight that is most sharp and keen|Endure their captain's flaming head to see?|How much less those| much higher in degree||And so much fairer| and much more than these||As these are fairer than the land and seas?|For far above these heavens| which here we see||Be others far exceeding these in light||Not bounded| not corrupt| as these same be||But infinite in largeness and in height||Unmoving| uncorrupt| and spotless bright||That need no sun t' illuminate their spheres||But their own native light far passing theirs.|And as these heavens still by degrees arise||Until they come to their first Mover's bound||That in his mighty compass doth comprise||And carry all the rest with him around;|So those likewise do by degrees redound||And rise more fair; till they at last arrive|To the most fair| whereto they all do strive.|Fair is the heaven where happy souls have place||In full enjoyment of felicity||Whence they do still behold the glorious face|Of the divine eternal Majesty;|More fair is that| where those Ideas on high|Enranged be| which Plato so admired||And pure Intelligences from God inspired.|Yet fairer is that heaven| in which do reign|The sovereign Powers and mighty Potentates||Which in their high protections do contain|All mortal princes and imperial states;|And fairer yet| whereas the royal Seats|And heavenly Dominations are set||From whom all earthly governance is fet.|Yet far more fair be those bright Cherubins||Which all with golden wings are overdight||And those eternal burning Seraphins||Which from their faces dart out fiery light;|Yet fairer than they both| and much more bright||Be th' Angels and Archangels| which attend|On God's own person| without rest or end.|These thus in fair each other far excelling||As to the highest they approach more near||Yet is that highest far beyond all telling||Fairer than all the rest which there appear||Though all their beauties join'd together were;|How then can mortal tongue hope to express|The image of such endless perfectness?|Cease then| my tongue| and lend unto my mind|Leave to bethink how great that beauty is||Whose utmost parts so beautiful I find;|How much more those essential parts of his||His truth| his love| his wisdom| and his bliss||His grace| his doom| his mercy| and his might||By which he lends us of himself a sight.|Those unto all he daily doth display||And shew himself in th' image of his grace||As in a looking-glass| through which he may|Be seen of all his creatures vile and base||That are unable else to see his face||His glorious face which glistereth else so bright||That th' Angels selves cannot endure his sight.|But we| frail wights| whose sight cannot sustain|The sun's bright beams when he on us doth shine||But that their points rebutted back again|Are dull'd| how can we see with feeble eyne|The glory of that Majesty Divine||In sight of whom both sun and moon are dark||Compared to his least resplendent spark?|The means| therefore| which unto us is lent|Him to behold| is on his works to look||Which he hath made in beauty excellent||And in the same| as in a brazen book||To read enregister'd in every nook|His goodness| which his beauty doth declare;|For all that's good is beautiful and fair.|Thence gathering plumes of perfect speculation||To imp the wings of thy high-flying mind||Mount up aloft through heavenly contemplation||From this dark world| whose damps the soul so blind||And| like the native brood of eagles' kind||On that bright Sun of Glory fix thine eyes||Clear'd from gross mists of frail infirmities.|Humbled with fear and awful reverence||Before the footstool of his majesty|Throw thyself down| with trembling innocence||Ne dare look up with corruptible eye|On the dread face of that great Deity||For fear| lest if he chance to look on thee||Thou turn to nought| and quite confounded be.|But lowly fall before his mercy seat||Close covered with the Lamb's integrity|From the just wrath of his avengeful threat|That sits upon the righteous throne on high;|His throne is built upon eternity||More firm and durable than steel or brass||Or the hard diamond| which them both doth pass.|His sceptre is the rod of righteousness||With which he bruiseth all his foes to dust||And the great Dragon strongly doth repress||Under the rigour of his judgement just;|His seat is truth| to which the faithful trust||From whence proceed her beams so pure and bright|That all about him sheddeth glorious light:|Light far exceeding that bright blazing spark|Which darted is from Titan's flaming head||That with his beams enlumineth the dark|And dampish air| whereby all things are read;|Whose nature yet so much is marvelled|Of mortal wits| that it doth much amaze|The greatest wizards which thereon do gaze.|But that immortal light| which there doth shine||Is many thousand times more bright| more clear||More excellent| more glorious| more divine||Through which to God all mortal actions here||And even the thoughts of men| do plain appear;|For from th' eternal truth it doth proceed||Through heavenly virtue which her beams do breed.|With the great glory of that wondrous light|His throne is all encompassed around||And hid in his own brightness from the sight|Of all that look thereon with eyes unsound;|And underneath his feet are to be found|Thunder and lightning and tempestuous fire||The instruments of his avenging ire.|There in his bosom Sapience doth sit||The sovereign darling of the Deity||Clad like a queen in royal robes| most fit|For so great power and peerless majesty||And all with gems and jewels gorgeously|Adorn'd| that brighter than the stars appear||And make her native brightness seem more clear.|And on her head a crown of purest gold|Is set| in sign of highest sovereignty;|And in her hand a sceptre she doth hold||With which she rules the house of God on high||And manageth the ever-moving sky||And in the same these lower creatures all|Subjected to her power imperial.|Both heaven and earth obey unto her will||And all the creatures which they both contain;|For of her fullness which the world doth fill|They all partake| and do in state remain|As their great Maker did at first ordain||Through observation of her high behest||By which they first were made| and still increast.|The fairness of her face no tongue can tell;|For she the daughters of all women's race||And angels eke| in beauty doth excel||Sparkled on her from God's own glorious face||And more increas'd by her own goodly grace||That it doth far exceed all human thought||Ne can on earth compared be to aught.|Ne could that painter (had he lived yet)|Which pictured Venus with so curious quill||That all posterity admired it||Have portray'd this| for all his mast'ring skill;|Ne she herself| had she remained still||And were as fair as fabling wits do feign||Could once come near this beauty sovereign.|But had those wits| the wonders of their days||Or that sweet Teian poet| which did spend|His plenteous vein in setting forth her praise||Seen but a glimpse of this which I pretend||How wondrously would he her face commend||Above that idol of his feigning thought||That all the world should with his rhymes be fraught.|How then dare I| the novice of his art||Presume to picture so divine a wight||Or hope t' express her least perfection's part||Whose beauty fills the heavens with her light||And darks the earth with shadow of her sight?|Ah| gentle Muse| thou art too weak and faint|The portrait of so heavenly hue to paint.|Let angels| which her goodly face behold|And see at will| her sovereign praises sing||And those most sacred mysteries unfold|Of that fair love of mighty heaven's King;|Enough is me t' admire so heavenly thing||And being thus with her huge love possest||In th' only wonder of herself to rest.|But whoso may| thrice happy man him hold||Of all on earth whom God so much doth grace|And lets his own beloved to behold;|For in the view of her celestial face|All joy| all bliss| all happiness| have place;|Ne aught on earth can want unto the wight|Who of herself can win the wishful sight.|For she| out of her secret treasury||Plenty of riches forth on him will pour||Even heavenly riches| which there hidden lie|Within the closet of her chastest bower||Th' eternal portion of her precious dower||Which mighty God hath given to her free||And to all those which thereof worthy be.|None thereof worthy be| but those whom she|Vouchsafeth to her presence to receive||And letteth them her lovely face to see||Whereof such wondrous pleasures they conceive||And sweet contentment| that it doth bereave|Their soul of sense| through infinite delight||And them transport from flesh into the spright.|In which they see such admirable things||As carries them into an ecstasy||And hear such heavenly notes| and carollings|Of God's high praise| that fills the brazen sky;|And feel such joy and pleasure inwardly||That maketh them all worldly cares forget||And only think on that before them set.|Ne from thenceforth doth any fleshly sense||Or idle thought of earthly things| remain;|But all that erst seem'd sweet seems now offence||And all that pleased erst now seems to pain;|Their joy| their comfort| their desire| their gain||Is fixed all on that which now they see;|All other sights but feigned shadows be.|And that fair lamp| which useth to inflame|The hearts of men with self-consuming fire|Thenceforth seems foul| and full of sinful blame;|And all that pomp to which proud minds aspire|By name of honour| and so much desire||Seems to them baseness| and all riches dross||And all mirth sadness| and all lucre loss.|So full their eyes are of that glorious sight||And senses fraught with such satiety||That in nought else on earth they can delight||But in th' aspect of that felicity||Which they have written in their inward eye;|On which they feed| and in their fastened mind|All happy joy and full contentment find.|Ah| then| my hungry soul| which long hast fed|On idle fancies of thy foolish thought||And| with false beauty's flatt'ring bait misled||Hast after vain deceitful shadows sought||Which all are fled| and now have left thee nought|But late repentance through thy follies prief;|Ah cease to gaze on matter of thy grief:|And look at last up to that sovereign light||From whose pure beams all perfect beauty springs||That kindleth love in every godly sprite||Even the love of God| which loathing brings|Of this vile world and these gay-seeming things;|With whose sweet pleasures being so possest||Thy straying thoughts henceforth for ever rest.,Spenser Edmund,beauty
Sonnet 54: O| How Much More Doth Beauty Beauteous Seem ,O| how much more doth beauty beauteous seem|By that sweet ornament which truth doth give!|The rose looks fair| but fairer we it deem|For that sweet odour which doth in it live.|The canker blooms have full as deep a dye|As the perfumèd tincture of the roses||Hang on such thorns| and play as wantonly|When summer's breath their maskèd buds discloses;|But| for their virtue only is their show||They live unwooed and unrespected fade||Die to themselves. Sweet roses do not so;|Of their sweet deaths are sweetest odours made.|And so of you| beauteous and lovely youth||When that shall vade| by verse distills your truth.,Shakespeare William,beauty
Beauty ,beauty is a gift of god|love and affection|beauty and warmth|pleasure and comfort|beauty is a desire|of lovely face and heart|beauty is a melodious tune|beauty is art|what is beauty|without love and affection|beauty is happiness|of a kind nature|such a beauty aishwarya rai has|impressive and bold eyes|if she can be beautiful|so can u be|be gud and have some fun|being beautiful is a kind of a duty|beauty is of love and affection|not any kind of rejection,mathur sakshi,beauty
